COD ATOM		INDEX TS
296 		-1
297 		-1
262 		-1
272 		-1
292 		-1
293 		-1
294 		-1
262 		-1
258 		0
290 		-1
262 		-1
258 		1
290 		-1
258 		1
274 		-1
259 		0
290 		-1
271 		-1
289 		-1
261 		0
290 		-1
270 		-1
288 		-1
258 		0
290 		-1
268 		-1
294 		-1
258 		1
274 		-1
258 		1
275 		-1
259 		2
290 		-1
258 		0
274 		-1
258 		0
276 		-1
259 		2
290 		-1
295 		-1
267 		-1
292 		-1
258 		0
284 		-1
259 		1
293 		-1
269 		-1
290 		-1
271 		-1
289 		-1
261 		1
289 		-1
258 		1
290 		-1
273 		-1
259 		2
290 		-1
295 		-1
